codigo,pib_0,pib_1,pib_2,pib_3,pib_4,pib_5,pib_6,pib_7,pib_8,pib_9,pib_10,pib_11,pib_12,pib_13,pib_14,pib_15,pib_16
1304237,116885.745,114685.246,107191.701,99627.247,81782.499,76575.775,58573.098,67166.698,62271.609,60137.65,58643.937,38267.061,38357.56,34327.603,32281.881,23864.45,20665.178
1304260,175838.407,130830.93,121454.754,106102.437,87490.82,74985.349,78559.015,60261.76,62067.943,82486.545,74313.517,60548.404,39853.305,37952.526,35648.226,20580.476,23558.766
1304302,296566.657,310199.815,302306.612,256607.266,227714.22,262260.175,102019.917,69521.731,65842.812,74148.608,76586.983,58136.333,53408.321,50258.271,44737.898,32138.546,30791.394
1304401,121981.503,113916.735,119411.657,110166.212,99087.495,85445.783,73588.237,67572.426,61677.903,68112.245,57594.745,38783.62,37128.423,35450.034,31982.855,20923.361,20300.417
1400027,139171.371,123154.403,106016.056,120398.141,104080.982,93572.516,76901.218,71194.586,60780.701,52787.11,42593.924,31951.133,32340.946,30642.875,28057.945,25796.404,21756.37
1400050,248754.493,221320.127,190357.188,181429.154,153344.934,148196.886,134967.393,142005.37,129986.198,112615.956,117746.779,115974.092,108118.776,106200.068,90805.534,80932.437,70687.478
1400100,8112334.392,7581092.27,7353244.633,6705376.822,5835746.201,5539887.967,5123255.741,4089951.975,3577244.332,3035792.931,2611392.691,2264674.089,1942673.881,1905440.755,1594162.288,1395579.018,1222760.426
1400159,247502.2,224231.964,185433.28,191785.376,139877.197,124340.196,108567.536,111178.513,96590.915,81979.708,77319.899,68465.848,64330.823,63286.716,54673.356,48803.901,45460.287
1400175,226281.728,209781.263,200639.221,183166.923,153466.608,148512.239,124720.311,146134.172,118012.197,96321.628,89684.13,74792.166,73584.156,67521.383,56436.812,50064.037,44819.992
1400209,322843.38,307048.799,267044.281,258591.782,222388.958,205883.49,174393.565,170911.472,144187.087,128365.102,117212.564,101045.29,89925.79,85856.314,79177.155,73107.811,69060.976
1400233,151587.317,142421.408,132111.549,123944.836,93127.228,83313.421,73318.052,77340.215,66979.799,57880.264,49705.03,42358.85,41429.408,42176.962,36125.987,31387.371,20792.778
1400282,137170.744,126537.008,119516.992,114094.695,87502.129,82426.823,76327.457,71118.855,57835.611,51221.523,49948.649,46756.842,41098.728,40307.252,34066.449,29201.88,19719.448
1400308,270945.33,248326.61,205851.96,209439.407,176930.441,187539.324,147252.38,146633.368,127458.684,109347.535,102819.039,91378.405,88265.576,86275.954,71837.352,61911.394,51022.058
1400407,129666.017,123235.227,110652.842,102877.78,86658.677,82346.918,74442.172,74637.082,77570.868,65719.443,62381.39,51114.389,53189.043,46970.255,38219.053,35616.798,29849.679
1400456,164518.391,145930.432,139438.334,131071.578,115387.673,109555.892,102813.61,93471.817,88229.259,80938.674,70833.158,60954.858,69187.581,60915.769,51543.159,47597.103,51950.029
1400472,506131.659,467659.895,436625.361,403929.204,308533.712,282703.394,241464.868,231619.679,195640.115,169803.301,154620.675,131751.536,118763.81,113148.386,99696.658,83389.437,66829.888
1400506,140277.32,124280.413,116627.764,109951.416,89963.699,81866.633,66010.25,59397.802,54905.558,44943.976,40702.95,34161.908,30668.934,31495.149,28176.117,25356.376,21293.688
1400605,110589.666,100433.908,94080.697,93160.061,74576.651,67668.405,59706.16,54440.6,46984.332,41656.318,39678.127,36596.062,33170.3,33249.834,28206.364,24703.335,21967.825
